Player_name,Club,Assist
,,Stat
N'Golo Kanté,Chelsea,4
Fernando Llorente,Tottenham Hotspur,4
Riyad Mahrez,Manchester City,4
James Milner,Liverpool,4
Henrikh Mkhitaryan,Arsenal,4
Felipe Anderson,West Ham United,4
Nathan Redmond,Southampton,4
Luke Shaw,Manchester United,4
Youri Tielemans,Leicester City,4
Andros Townsend,Crystal Palace,4
Jamie Vardy,Leicester City,4
Luciano Vietto,Fulham,4
Dele Alli,Tottenham Hotspur,3
Bernard,Everton,3
Ryan Babel,Fulham,3
Etienne Capoue,Watford,3
Rúben Neves,Wolverhampton Wanderers,3
Gabriel Jesus,Manchester City,3
Pascal Groß,Brighton and Hove Albion,3
Ilkay Gündogan,,3
,,Stat
Jordan Henderson,Liverpool,3
Ander Herrera,Manchester United,3
Pierre-Emile Højbjerg,Southampton,3
Kelechi Iheanacho,Leicester City,3
Danny Ings,Southampton,3
Joshua King,AFC Bournemouth,3
Aymeric Laporte,Manchester City,3
Fernandinho,Manchester City,3
Javier Manquillo,Newcastle United,3
Aleksandar Mitrovic,Fulham,3
Nacho Monreal,Arsenal,3
Sean Morrison,Cardiff City,3
Steve Mounie,Huddersfield Town,3
Danny Rose,Tottenham Hotspur,3
Alexis Sánchez,Manchester United,3
Xherdan Shaqiri,Liverpool,3
Moussa Sissoko,Tottenham Hotspur,3
Junior Stanislas,AFC Bournemouth,3
Matt Targett,Southampton,3
Cenk Tosun,Everton,3
,,Stat
Kieran Trippier,Tottenham Hotspur,3
Kyle Walker-Peters,,3
Aaron Wan-Bissaka,Crystal Palace,3
Oleksandr Zinchenko,Manchester City,3
Marc Albrighton,Leicester City,2
Cédric Soares,,2
Stuart Armstrong,Southampton,2
Serge Aurier,Tottenham Hotspur,2
Charlie Austin,Southampton,2
Jordan Ayew,Crystal Palace,2
Harvey Barnes,Leicester City,2
Ashley Barnes,Burnley,2
Dominic Calvert-Lewin,Everton,2
Seamus Coleman,,2
Jack Cork,Burnley,2
Diogo Dalot,Manchester United,2
Kevin De Bruyne,Manchester City,2
Bobby De Cordova-Reid,Cardiff City,2
Simon Francis,AFC Bournemouth,2
Andre Gray,Watford,2
,,Stat
Eden Hazard,Chelsea,15
Ryan Fraser,AFC Bournemouth,14
Trent Alexander-Arnold,Liverpool,12
Christian Eriksen,Tottenham Hotspur,12
Andrew Robertson,Liverpool,11
Leroy Sané,Manchester City,10
Raheem Sterling,Manchester City,10
Paul Pogba,Manchester United,9
Callum Wilson,AFC Bournemouth,9
Sergio Agüero,Manchester City,8
Alexandre Lacazette,Arsenal,8
Matt Ritchie,Newcastle United,8
Mohamed Salah,Liverpool,8
João Moutinho,Wolverhampton Wanderers,8
David Silva,Manchester City,8
Raúl Jiménez,Wolverhampton Wanderers,7
James Maddison,Leicester City,7
Salomón Rondón,Newcastle United,7
Bernardo Silva,Manchester City,7
Ashley Westwood,Burnley,7
,,Stat
Roberto Firmino,Liverpool,6
Ricardo Pereira,Leicester City,6
Johann Gudmundsson,Burnley,6
Willian,Chelsea,6
Abdoulaye Doucouré,Watford,6
José Holebas,Watford,6
Alex Iwobi,Arsenal,6
Anthony Knockaert,Brighton and Hove Albion,6
James McArthur,Crystal Palace,6
Aaron Ramsey,Arsenal,6
Marcus Rashford,Manchester United,6
Ryan Sessegnon,Fulham,6
Gylfi Sigurdsson,Everton,6
Son Heung-Min,Tottenham Hotspur,6
Pierre-Emerick Aubameyang,Arsenal,5
César Azpilicueta,Chelsea,5
Ross Barkley,Chelsea,5
Héctor Bellerín,Arsenal,5
David Brooks,AFC Bournemouth,5
Troy Deeney,Watford,5
,,Stat
Gerard Deulofeu,Watford,5
Matt Doherty,Wolverhampton Wanderers,5
Sead Kolasinac,Arsenal,5
Solly March,Brighton and Hove Albion,5
Dwight McNeil,Burnley,5
Benjamin Mendy,Manchester City,5
Mark Noble,West Ham United,5
Robert Snodgrass,West Ham United,5
Diogo Jota,Wolverhampton Wanderers,5
Wilfried Zaha,Crystal Palace,5
Marcos Alonso,Chelsea,4
Michail Antonio,West Ham United,4
Marko Arnautovic,West Ham United,4
Víctor Camarasa,Cardiff City,4
Ben Chilwell,Leicester City,4
Lucas Digne,Everton,4
Olivier Giroud,Chelsea,4
Isaac Hayden,Newcastle United,4
Will Hughes,Watford,4
Harry Kane,Tottenham Hotspur,4
,,Stat
N'Golo Kanté,Chelsea,4
Fernando Llorente,Tottenham Hotspur,4
Riyad Mahrez,Manchester City,4
James Milner,Liverpool,4
Henrikh Mkhitaryan,Arsenal,4
Felipe Anderson,West Ham United,4
Nathan Redmond,Southampton,4
Luke Shaw,Manchester United,4
Youri Tielemans,Leicester City,4
Andros Townsend,Crystal Palace,4
Jamie Vardy,Leicester City,4
Luciano Vietto,Fulham,4
Dele Alli,Tottenham Hotspur,3
Bernard,Everton,3
Ryan Babel,Fulham,3
Etienne Capoue,Watford,3
Rúben Neves,Wolverhampton Wanderers,3
Gabriel Jesus,Manchester City,3
Pascal Groß,Brighton and Hove Albion,3
Ilkay Gündogan,,3
,,Stat
Jordan Henderson,Liverpool,3
Ander Herrera,Manchester United,3
Pierre-Emile Højbjerg,Southampton,3
Kelechi Iheanacho,Leicester City,3
Danny Ings,Southampton,3
Joshua King,AFC Bournemouth,3
Aymeric Laporte,Manchester City,3
Fernandinho,Manchester City,3
Javier Manquillo,Newcastle United,3
Aleksandar Mitrovic,Fulham,3
Nacho Monreal,Arsenal,3
Sean Morrison,Cardiff City,3
Steve Mounie,Huddersfield Town,3
Danny Rose,Tottenham Hotspur,3
Alexis Sánchez,Manchester United,3
Xherdan Shaqiri,Liverpool,3
Moussa Sissoko,Tottenham Hotspur,3
Junior Stanislas,AFC Bournemouth,3
Matt Targett,Southampton,3
Cenk Tosun,Everton,3
,,Stat
Kieran Trippier,Tottenham Hotspur,3
Kyle Walker-Peters,,3
Aaron Wan-Bissaka,Crystal Palace,3
Oleksandr Zinchenko,Manchester City,3
Marc Albrighton,Leicester City,2
Cédric Soares,,2
Stuart Armstrong,Southampton,2
Serge Aurier,Tottenham Hotspur,2
Charlie Austin,Southampton,2
Jordan Ayew,Crystal Palace,2
Harvey Barnes,Leicester City,2
Ashley Barnes,Burnley,2
Dominic Calvert-Lewin,Everton,2
Seamus Coleman,,2
Jack Cork,Burnley,2
Diogo Dalot,Manchester United,2
Kevin De Bruyne,Manchester City,2
Bobby De Cordova-Reid,Cardiff City,2
Simon Francis,AFC Bournemouth,2
Andre Gray,Watford,2
,,Stat
Idrissa Gueye,Everton,2
Daryl Janmaat,Watford,2
Michael Keane,Everton,2
Cheikhou Kouyaté,Crystal Palace,2
Mateo Kovacic,Chelsea,2
Erik Lamela,Tottenham Hotspur,2
Jesse Lingard,Manchester United,2
Ruben Loftus-Cheek,Chelsea,2
Ademola Lookman,Everton,2
Chris Löwe,Huddersfield Town,2
David Luiz,Chelsea,2
Anthony Martial,Manchester United,2
Juan Mata,Manchester United,2
Ben Mee,Burnley,2
Max Meyer,Crystal Palace,2
Luka Milivojevic,Crystal Palace,2
Josh Murphy,Cardiff City,2
Samir Nasri,West Ham United,2
Mesut Özil,Arsenal,2
Sokratis,Arsenal,2
,,Stat
Ayoze Pérez,Newcastle United,2
Pedro,Chelsea,2
Ken Sema,Watford,2
Jean Michael Seri,Fulham,2
Hélder Costa,Wolverhampton Wanderers,2
Fabinho,Liverpool,2
Lucas Torreira,Arsenal,2
Patrick van Aanholt,Crystal Palace,2
Virgil van Dijk,Liverpool,2
Theo Walcott,Everton,2
Chris Wood,Burnley,2
Granit Xhaka,Arsenal,2
DeAndre Yedlin,Newcastle United,2
Ashley Young,Manchester United,2
Kurt Zouma,Everton,2
Harry Arter,Cardiff City,1
Sol Bamba,Cardiff City,1
Jan Bednarek,,1
Joe Bennett,Cardiff City,1
Christian Benteke,Crystal Palace,1
,,Stat
Léo Bonatini,,1
Robbie Brady,Burnley,1
Joe Bryan,Fulham,1
Tom Cairney,Fulham,1
Jonny,Wolverhampton Wanderers,1
Ivan Cavaleiro,Wolverhampton Wanderers,1
Cyrus Christie,Fulham,1
Nathaniel Clyne,AFC Bournemouth,1
Steve Cook,AFC Bournemouth,1
Aaron Cresswell,West Ham United,1
Scott Dann,Crystal Palace,1
Steven Davis,,1
Richarlison,Everton,1
Fabian Delph,Manchester City,1
Laurent Depoitre,Huddersfield Town,1
Grady Diangana,West Ham United,1
Shane Duffy,Brighton and Hove Albion,1
Lewis Dunk,Brighton and Hove Albion,1
Erik Durm,Huddersfield Town,1
Bruno Ecuele Manga,Cardiff City,1
,,Stat
Marouane Fellaini,,1
Kiko Femenía,Watford,1
Bernardo,Brighton and Hove Albion,1
Federico Fernández,Newcastle United,1
Morgan Gibbs-White,Wolverhampton Wanderers,1
Dan Gosling,AFC Bournemouth,1
Demarai Gray,Leicester City,1
Aron Gunnarsson,Cardiff City,1
Chicharito,West Ham United,1
Andreas Pereira,Manchester United,1
Jonathan Hogg,Huddersfield Town,1
David Junior Hoilett,Cardiff City,1
Callum Hudson-Odoi,Chelsea,1
Jordon Ibe,AFC Bournemouth,1
José Izquierdo,Brighton and Hove Albion,1
Phil Jones,Manchester United,1
Zanka,Huddersfield Town,1
Beram Kayal,Brighton and Hove Albion,1
Naby Keita,Liverpool,1
Jonjoe Kenny,Everton,1
,,Stat
Ki Sung-yueng,Newcastle United,1
Terence Kongolo,Huddersfield Town,1
Manuel Lanzini,West Ham United,1
Jamaal Lascelles,Newcastle United,1
Maxime Le Marchand,Fulham,1
Mario Lemina,Southampton,1
Aaron Lennon,Burnley,1
Victor Lindelöf,Manchester United,1
Shane Long,Southampton,1
Kevin Long,,1
Jonas Lössl,Huddersfield Town,1
Ainsley Maitland-Niles,Arsenal,1
Sadio Mané,Liverpool,1
Adam Masina,Watford,1
Arthur Masuaku,West Ham United,1
Isaac Mbenza,Huddersfield Town,1
Nathaniel Mendez-Laing,Cardiff City,1
Chris Mepham,AFC Bournemouth,1
Martín Montoya,Brighton and Hove Albion,1
Aaron Mooy,Huddersfield Town,1